"model"|"type"|"name"|"Published"|"Fetaured"|"Visibility"|"Short_description"|"Description"|"price"|"image"|"Color"|"Dimension1"|"Dimension2"|"Dimension3"|"dim1"|"dim2"|"dim3"|"Material"|"Categories"|"Tags"
"069-000031"|"simple"|"Γραφείο εργασίας"|1|0|"visible"||"Το επαγγελματικό γραφείο Amazon Sonoma διαθέτει επιφάνεια από μοριοσανίδα υψηλής ποιότητας και μελαμίνης, ιδανική για κάθε επιχείρηση. Προσφέρει ανθεκτικότητα και λειτουργικότητα, ενώ οι ειδικές ροζέτες επιτρέπουν την εύκολη διέλευση των καλωδίων. Διαστάσεις: 120x75x75 εκ."|"79.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/069-000031-1.jpg, https://www.pakoworld.com/image/catalog/products/069-000031-2.jpg, https://www.pakoworld.com/image/catalog/products/069-000031-3.jpg, https://www.pakoworld.com/image/catalog/products/069-000031-4.jpg"|"sonoma"|"120.0"|"75.0"|"75.0"||||"μοριοσανίδα"|"Γραφείο, Κουζίνα"|"Επαγγελματικό, Λειτουργικό, Οργανωτικό, Σύγχρονο, Διάταξη, Λειτουργικός χώρος"
"097-000001"|"simple"|"Τραπέζι Benson"|1|0|"visible"||"Το τραπέζι Benson διαθέτει σώμα και επιφάνεια κατασκευασμένα από MDF με επένδυση καπλαμά χρώματος καρυδί.  Εξασφαλίζει ανθεκτικότητα και κομψό design, ιδανικό για τραπεζαρία ή σαλόνι. Οι διαστάσεις του είναι 80x80x75 εκ.  Στήριξη με τέσσερα πόδια από MDF καπλαμά καρυδί, με διάσταση ποδιού 6 εκ x 2,8 εκ."|"68.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/097-000001-1.jpg, https://www.pakoworld.com/image/catalog/products/097-000001-2.jpg, https://www.pakoworld.com/image/catalog/products/097-000001-3.jpg, https://www.pakoworld.com/image/catalog/products/097-000001-4.jpg"|"καρυδί"|"80.0"|"80.0"|"75.0"||||"MDF"|"Τραπεζαρία, Σαλόνι"|"Μοντέρνος σχεδιασμός, Διακριτικότητα, Κομψότητα, Διαμέρισμα, Τραπεζαρία, Σαλόνι"
"096-000013"|"simple"|"Καρέκλα Giselle"|1|0|"visible"||"Η καρέκλα Giselle διαθέτει κομψό σχεδιασμό με σκελετό από ανθεκτικό μέταλλο και επένδυση από βελούδο εξαιρετικής ποιότητας σε γκρι-χρυσό χρώμα. Ιδανική για γραφείο ή οικιακό περιβάλλον, η καρέκλα προσφέρει άνεση και αισθητική. Κατασκευασμένη από βελούδο και μέταλλο υψηλής αντοχής, η Giselle διαθέτει προστατευτικά πλαστικά καλύμματα και παραδίδεται αμοντάριστη."|"52.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/096-000013-1.jpg, https://www.pakoworld.com/image/catalog/products/096-000013-2.jpg, https://www.pakoworld.com/image/catalog/products/096-000013-3.jpg, https://www.pakoworld.com/image/catalog/products/096-000013-4.jpg, https://www.pakoworld.com/image/catalog/products/096-000013-5.jpg, https://www.pakoworld.com/image/catalog/products/096-000013-6.jpg, https://www.pakoworld.com/image/catalog/products/096-000013-7.jpg"|"γκρι-μαύρο χρυσό"|||||||"μέταλλο"|"Γραφείο, Σαλόνι"|"Επίσημος σχεδιασμός, Εργονομία, Σύγχρονο, Άνεση, Επαγγελματική χρήση, Αισθητική"
"069-000029"|"simple"|"Γραφείο εργασίας"|1|0|"visible"||"Το επαγγελματικό γραφείο Amazon Sonoma προσφέρει κομψότητα και λειτουργικότητα. Κατασκευάζεται από μοριοσανίδα υψηλής ποιότητας με επένδυση μελαμίνης, ενώ διαθέτει γωνιακό βοηθητικό γραφείο με αποθηκευτικούς χώρους. Ιδανικό για κάθε επαγγελματία, με διαστάσεις 180x160x76 εκ."|"244.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/069-000029-1.jpg, https://www.pakoworld.com/image/catalog/products/069-000029-2.jpg, https://www.pakoworld.com/image/catalog/products/069-000029-3.jpg, https://www.pakoworld.com/image/catalog/products/069-000029-4.jpg, https://www.pakoworld.com/image/catalog/products/069-000029-5.jpg, https://www.pakoworld.com/image/catalog/products/069-000029-6.jpg"|"sonoma"|"180.0"|"160.0"|"76.0"||||"μοριοσανίδα"|"Γραφείο, Κουζίνα"|"Επαγγελματικός σχεδιασμός, Λειτουργικότητα, Οργανωτικός χώρος, Γωνιακή διάταξη, Μοντέρνος σχεδιασμός, Εργασιακό περιβάλλον"
"096-000012"|"simple"|"Καρέκλα Giselle"|1|0|"visible"||"Απολαύστε την κομψότητα της καρέκλας Giselle! Κατασκευασμένη από βελούδο εξαιρετικής ποιότητας και μεταλλικό πλαίσιο, προσφέρει άνεση και κομψότητα. Η μαύρη βαφή του σκελετού και οι χρυσές καταλήξεις των ποδιών δημιουργούν μια διαχρονική αισθητική. Ιδανική για οικίες και επαγγελματικούς χώρους. Παραδόθηκε αμοντάριστη."|"52.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/096-000012-1.jpg, https://www.pakoworld.com/image/catalog/products/096-000012-2.jpg, https://www.pakoworld.com/image/catalog/products/096-000012-3.jpg, https://www.pakoworld.com/image/catalog/products/096-000012-4.jpg, https://www.pakoworld.com/image/catalog/products/096-000012-5.jpg, https://www.pakoworld.com/image/catalog/products/096-000012-6.jpg, https://www.pakoworld.com/image/catalog/products/096-000012-7.jpg"|"σκούρο πράσινο-μαύρο χρυσό"||||||||"Σαλόνι, Γραφείο"|"Εlegance, κομψότητα, διαχρονικότητα, πολυfunctionality, εστιατόριο, οικιακό στυλ"
"069-000027"|"simple"|"Γραφείο εργασίας"|1|0|"visible"||"Αυτό το επαγγελματικό γραφείο γραφείου Amazon διαθέτει κύρια γραφείο μεσα από μοριοσανίδα υψηλής ποιότητας και βοηθητικό γραφείο με γωνιακή αποθήκευση. Κατασκευασμένο από μοριοσανίδα με μελαμίνη, παρέχει ανθεκτική και κομψή λύση για κάθε επαγγελματία."|"244.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/069-000027-1.jpg, https://www.pakoworld.com/image/catalog/products/069-000027-2.jpg, https://www.pakoworld.com/image/catalog/products/069-000027-3.jpg, https://www.pakoworld.com/image/catalog/products/069-000027-4.jpg, https://www.pakoworld.com/image/catalog/products/069-000027-5.jpg, https://www.pakoworld.com/image/catalog/products/069-000027-6.jpg"|"sonoma"|"180.0"|"160.0"|"76.0"||||"μοριοσανίδα"|"Γραφείο, Επαγγελματικά έπιπλα"|"Επαγγελματικό, Λειτουργικό, Αποθηκευτικό, Μοντέρνο, Οργανωτικό, Λειτουργικός"
"096-000010"|"simple"|"Καρέκλα Tania"|1|0|"visible"||"Η καρέκλα Tania προσφέρει κομψό σχεδιασμό για κάθε χώρο. Κατασκευασμένη από ύφασμα μπεζ antique και μεταλλικό σκελετό μαύρου χρώματος (19x1.2mm - 16x1.5mm - 20x20x0.9mm - 15x15x1.5mm), διαθέτει προστατευτικά πλαστικά καλύμματα στα πόδια. Ιδανική για γραφείο ή ενοικιαζόμενο κατάλυμα, προσφέρει άνεση και ανθεκτικότητα. Διαστάσεις: 43x53x84 εκ. (ύψος έδρας 47εκ)."|"29.9"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/096-000010-1.jpg, https://www.pakoworld.com/image/catalog/products/096-000010-2.jpg, https://www.pakoworld.com/image/catalog/products/096-000010-3.jpg, https://www.pakoworld.com/image/catalog/products/096-000010-4.jpg, https://www.pakoworld.com/image/catalog/products/096-000010-5.jpg, https://www.pakoworld.com/image/catalog/products/096-000010-6.jpg, https://www.pakoworld.com/image/catalog/products/096-000010-7.jpg"|"μπεζ"|||||||"ύφασμα"|"Γραφείο, Σαλόνι"|"Κομψότητα, Λειτουργικότητα, Επίπεδο, Ανθεκτικότητα, Ενοικιαζόμενα, Εργονομία"
"069-000026"|"simple"|"Καρέκλα γραφείου"|1|0|"visible"||"Εργονομική Καρέκλα Γραφείου Διευθυντή με Καθίσμα Mesh
Απολαύστε άνεση και υποστήριξη με αυτή την καρέκλα γραφείου διευθυντή. Κατασκευασμένη από ανθεκτικό σκελετό πολυπροπυλενίου και επενδεδυμένη με ύφασμα mesh μαύρου, προσφέρει ιδανική κυκλοφορία αέρα. Διαθέτει ρυθμιζόμενο ύψος και ανακλινόμενη πλάτη για μέγιστη εργονομία. Ιδανική για πολύωρη χρήση στο γραφείο και στο σπίτι."|"79.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/069-000026-1.jpg, https://www.pakoworld.com/image/catalog/products/069-000026-2.jpg, https://www.pakoworld.com/image/catalog/products/069-000026-3.jpg, https://www.pakoworld.com/image/catalog/products/069-000026-4.jpg, https://www.pakoworld.com/image/catalog/products/069-000026-5.jpg, https://www.pakoworld.com/image/catalog/products/069-000026-6.jpg, https://www.pakoworld.com/image/catalog/products/069-000026-7.jpg, https://www.pakoworld.com/image/catalog/products/069-000026-8.jpg"|"μαύρο"|||||||"ύφασμα"|"Γραφείο, Σαλόνι"|"Εργονομία, Υποστήριξη, Διευθυντής, Επίπεδο, Λειτουργικότητα, Άνεση"
"096-000009"|"simple"|"Καρέκλα Tania"|1|0|"visible"||"Η καρέκλα Tania είναι κατασκευασμένη από ύφασμα ανθρακί και διαθέτει μεταλλικό σκελετό μαύρου χρώματος.  Επενδεχτεί με ανθεκτικά υλικά για μέγιστη άνεση και ευελιξία. Ο σκελετός αποτελείται από μεταλλικά εξαρτήματα 19x1,2mm - 16x1,5mm - 20x20x0,9mm -15 x15x1,5mm. Ιδανική για σπίτι ή γραφείο, διαθέτει προστατευτικά πλαστικά καλύμματα στα πόδια. Διαστάσεις: 43x53x84 εκ. (ύψος έδρας: 47 εκ.)"|"29.9"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/096-000009-1.jpg, https://www.pakoworld.com/image/catalog/products/096-000009-2.jpg, https://www.pakoworld.com/image/catalog/products/096-000009-3.jpg, https://www.pakoworld.com/image/catalog/products/096-000009-4.jpg, https://www.pakoworld.com/image/catalog/products/096-000009-5.jpg, https://www.pakoworld.com/image/catalog/products/096-000009-6.jpg, https://www.pakoworld.com/image/catalog/products/096-000009-7.jpg"|"ανθρακί"|||||||"ύφασμα"|"Γραφείο, Σαλόνι"|"Ευελιξία, Σύγχρονο, Εργονομική, Σπίτι, Γραφείο, Άνεση"
"035-000034"|"simple"|"Καναπές-κρεβάτι Carmelo"|1|0|"visible"||"Ο 3θέσιος καναπές-κρεβάτι Carmelo είναι μια μοντέρνα και πρακτική επιλογή για τον χώρο σας. Κατασκευασμένος από ανθεκτικό ύφασμα γκρι, με ενισχυμένο μεταλλικό σκελετό και “click-clack” μηχανισμό για εύκολη μετατροπή σε κρεβάτι. Διαθέτει μπράτσο για άνεση και κομψά ξύλινα πόδια. Ιδανικός για εξοικονόμηση χώρου. Παραδόθηκε αμοντάριστος."|"340.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/035-000034-1.jpg, https://www.pakoworld.com/image/catalog/products/035-000034-2.jpg, https://www.pakoworld.com/image/catalog/products/035-000034-3.jpg, https://www.pakoworld.com/image/catalog/products/035-000034-4.jpg, https://www.pakoworld.com/image/catalog/products/035-000034-5.jpg, https://www.pakoworld.com/image/catalog/products/035-000034-6.jpg, https://www.pakoworld.com/image/catalog/products/035-000034-7.jpg, https://www.pakoworld.com/image/catalog/products/035-000034-9.jpg, https://www.pakoworld.com/image/catalog/products/035-000034-10.jpg"|"ανθρακί"|"214.0"|"80.0"|"86.0"||||"ύφασμα"|"Σαλόνι, Υπνοδωμάτιο"|"Μοντέρνος σχεδιασμός, Εξοικονόμηση χώρου, Κουζινός χώρος, Εργονομικός, Δυναμική μετατροπή, Κομψός"
"093-000008"|"simple"|"Τραπέζι Gordon"|1|0|"visible"||"Το τραπέζι Gordon προσφέρει κομψό και σύγχρονο design, ιδανικό για κάθε χώρο. Κατασκευασμένο από επιφάνεια μελαμίνης 40mm LPL και ενισχυτικά μαύρα μεταλλικά πόδια, συνδυάζει ανθεκτικότητα και αισθητική.  Είναι επεκτεινόμενο (160-200 εκ.) και διαθέτει πλάτος 90 εκ. και ύψος 75 εκ.  Εύκολος στον καθαρισμό, ιδανικό για οικιακή ή επαγγελματική χρήση."|"425.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/093-000008-1.jpg, https://www.pakoworld.com/image/catalog/products/093-000008-2.jpg, https://www.pakoworld.com/image/catalog/products/093-000008-3.jpg, https://www.pakoworld.com/image/catalog/products/093-000008-4.jpg, https://www.pakoworld.com/image/catalog/products/093-000008-5.jpg, https://www.pakoworld.com/image/catalog/products/093-000008-6.jpg, https://www.pakoworld.com/image/catalog/products/093-000008-7.jpg, https://www.pakoworld.com/image/catalog/products/093-000008-8.jpg, https://www.pakoworld.com/image/catalog/products/093-000008-9.jpg, https://www.pakoworld.com/image/catalog/products/093-000008-10.jpg"|"γκρι"|"200.0"|"90.0"|"75.0"|||||"Γραφείο, Σαλόνι"|"Σύγχρονο design, Επεκτεινόμενο, Λειτουργικό, Αισθητικό, Ευέλικτο, Καθημερινό"
"049-000045"|"simple"|"Βιβλιοθήκη"|1|0|"visible"||"Η Βιβλιοθήκη FIRENZE είναι μια μοντέρνα βιβλιοθήκη κατασκευασμένη από μοριοσανίδα με επένδυση μελαμίνης και 3D Wood Paper σε χρώμα Sonoma. Διαθέτει πολλαπλά ραφάκια και ασημί-γκρι πόδια, ιδανική για σπίτι ή επαγγελματική χρήση. Ενίσχυσε το στυλ σου με την FIRENZE!"|"77.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/049-000045-1.jpg, https://www.pakoworld.com/image/catalog/products/049-000045-2.jpg, https://www.pakoworld.com/image/catalog/products/049-000045-3.jpg"|"sonoma"|"107.0"|"28.0"|||||"μοριοσανίδα"|"Γραφείο, Υπνοδωμάτιο"|"Μοντέρνος σχεδιασμός, Οργανωτικός χώρος, Διάθεση για σπίτι, Επαγγελματική χρήση, Απλή λειτουργικότητα, Αισθητική"
"093-000003"|"simple"|"Τραπέζι σαλονιού"|1|0|"visible"||"Το τραπέζι σαλονιού Masai συνδυάζει διαφανές γυαλί ασφαλείας (8mm) με σκελετό από MDF χρώματος sonoma-καρυδί και βάση από ανοξείδωτο χάλυβα. Ανθεκτικό και με μινιμαλιστικό design, ιδανικό για κάθε χώρο. Διαστάσεις: 120x60x43 εκ.  Το προϊόν παραδίδεται αμοντάριστο."|"189.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/093-000003-1.jpg, https://www.pakoworld.com/image/catalog/products/093-000003-2.jpg, https://www.pakoworld.com/image/catalog/products/093-000003-3.jpg, https://www.pakoworld.com/image/catalog/products/093-000003-4.jpg, https://www.pakoworld.com/image/catalog/products/093-000003-5.jpg"|"sonoma"|"120.0"|"60.0"|"43.0"||||"MDF, γυαλί"|"Σαλόνι, Γραφείο"|"Μινιμαλισμός, Σαλόνι, Λειτουργικό, Σύγχρονο, Απλό, Διακριτικό"
"085-000011"|"simple"|"Παπουτσοθήκη Ramon"|1|0|"visible"||"Απαθής Παπουτσοθήκη Ramon – Μοντέρνος Χώρος για τα Παπούτσι σας.

Κατασκευασμένη από μοριοσανίδα με μελαμίνης και μέταλλο, η παπουτσοθήκη Ramon προσφέρει 12 ζεύγη παπουτσιών με έναν μινιμαλιστικό σχεδιασμό. Διαστάσεις: 63x30x83 εκ. Ιδανική για να ανανεώσετε την αισθητική του χώρου σας."|"26.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/085-000011-1.jpg, https://www.pakoworld.com/image/catalog/products/085-000011-2.jpg, https://www.pakoworld.com/image/catalog/products/085-000011-3.jpg"|"μαύρο"|"63.0"|"30.0"|"83.0"||||"μέταλλο, μοριοσανίδα"|"Κουζίνα, Υπνοδωμάτιο"|"Μινιμαλισμός, Οργάνωση, Αισθητική, Αποθήκευση, Μοντέρνος Χώρος, Οικιακό Διάκοσμο"
"085-000010"|"simple"|"Παπουτσοθήκη Ramon"|1|0|"visible"||"Η παπουτσοθήκη Ramon προσφέρει κομψότητα και λειτουργικότητα για τον χώρο σου. Κατασκευάζεται από μοριοσανίδα με μελαμίνης επένδυση, μεταλλικό σκελετό και διαθέτει ράφια για 6 ζεύγη παπουτσιών. Διαστάσεις: 63x30x43 εκ. Εύκολη συντήρηση με μαλακό πανί."|"16.5"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/085-000010-1.jpg, https://www.pakoworld.com/image/catalog/products/085-000010-2.jpg"|"μαύρο"|"63.0"|"30.0"|"43.0"||||"μοριοσανίδα"|"Υπνοδωμάτιο, Κουζίνα"|"Οργανωτικός χώρος, Μοντέρνο σχέδιο, Λειτουργικός, Οικιακό διακοσμητικό, Αποθήκευση, Απαλή αίσθηση"
"085-000008"|"simple"|"Έπιπλο εισόδου-ραφιέρα Ramon"|1|0|"visible"||"Ανθεκτική και μοντέρνα ντουλάπα-εισόδος Ramon για τον χώρο σου! Κατασκευασμένη από μοριοσανίδα με μελαμίνης, ανθεκτικό μεταλλικό σκελετό και εσωτερικά ράφια για την οργάνωσή σου. Διαστάσεις: 90,5x41x167εκ. Εύκολη συντήρηση για μακρά διάρκεια ζωής."|"59.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/085-000008-1.jpg, https://www.pakoworld.com/image/catalog/products/085-000008-2.jpg, https://www.pakoworld.com/image/catalog/products/085-000008-3.jpg, https://www.pakoworld.com/image/catalog/products/085-000008-4.jpg"|"φυσικό-μαύρο"|"5.0"|"41.0"|"167.0"||||"μοριοσανίδα"|"Υπνοδωμάτιο, Κουζίνα"|"Οργάνωση, Μοντέρνος σχεδιασμός, Αποθηκευτικός χώρος, Λειτουργικότητα, Αξιοπιστία, Σύγχρονος χώρος"
"085-000004"|"simple"|"Γραφείο εργασίας Ramon"|1|0|"visible"||"Εξελιγμένο γραφείο εργασίας Ramon – Ιδανικό για εσάς που εκτιμάτε την κομψότητα και το minimal design. Κατασκευασμένο από μοριοσανίδα με μελαμίνη και μεταλλικό σκελετό, προσφέρει αντοχή και μοντέρνο στυλ. Διαστάσεις: 120x60.5x70 εκ."|"42.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/085-000004-1.jpg, https://www.pakoworld.com/image/catalog/products/085-000004-2.jpg, https://www.pakoworld.com/image/catalog/products/085-000004-3.jpg"|"μαύρο"|"120.0"|"60.0"|||||"μοριοσανίδα"|"Γραφείο, Σαλόνι"|"Minimalist, Εργασία, Κομψότητα, Λειτουργικό, Σύγχρονο, Εργονομικό"
"085-000003"|"simple"|"Γραφείο-ραφιέρα Ramon"|1|0|"visible"||"Αυτό το γραφείο-ραφιέρα Ramon συνδυάζει κομψότητα και λειτουργικότητα. Κατασκευάζεται από μοριοσανίδα με μελαμίνη, διαθέτει μεταλλικό σκελετό και τρία ράφια αποθήκευσης. Ιδανικό για μικρούς χώρους, προσφέρει μια μοντέρνα και λειτουργική λύση διακόσμησης."|"59.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/085-000003-1.jpg, https://www.pakoworld.com/image/catalog/products/085-000003-2.jpg, https://www.pakoworld.com/image/catalog/products/085-000003-3.jpg, https://www.pakoworld.com/image/catalog/products/085-000003-4.jpg, https://www.pakoworld.com/image/catalog/products/085-000003-5.jpg, https://www.pakoworld.com/image/catalog/products/085-000003-6.jpg"|"μαύρο"|"122.0"|"64.0"|"120.0"||||"μοριοσανίδα"|"Γραφείο, Κουζίνα"|"Μοντέρνο, Λειτουργικό, Αποθηκευτικό, Διακόσμηση, Μικροχώρος, Οργανωτικό"
"085-000002"|"simple"|"Βιβλιοθήκη- Ραφιέρα Ramon"|1|0|"visible"||"Η βιβλιοθήκη Ramon συνδυάζει κομψότητα και λειτουργικότητα. Κατασκευασμένη από μοριοσανίδα με μελαμίνη και μέταλλο, προσφέρει 4 ράφια για την προβολή των βιβλίων σας. Διαστάσεις: 60x28x125,5 εκ. Ένας ιδανικός διακοσμητικός τρόπος να ανανεώσετε τον χώρο σας!"|"52.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/085-000002-1.jpg, https://www.pakoworld.com/image/catalog/products/085-000002-2.jpg, https://www.pakoworld.com/image/catalog/products/085-000002-3.jpg, https://www.pakoworld.com/image/catalog/products/085-000002-4.jpg, https://www.pakoworld.com/image/catalog/products/085-000002-5.jpg"|"φυσικό-μαύρο"|"60.0"|"28.0"|"125.0"||||"μέταλλο, μοριοσανίδα"|"Γραφείο, Σαλόνι"|"Οργανωτικός χώρος, Μοντέρνο, Λειτουργικός, Διακοσμητικός, Απλότητα, Βιβλιοθήκη"
"029-000090"|"simple"|"Τραπέζι σαλονιού Paris"|1|0|"visible"||"Το τραπέζι σαλονιού Paris διαθέτει επιφάνεια από γυαλί ασφαλείας 8mm με σχέδιο μαρμάρου-χρυσού. Ο στιβαρός μεταλλικός σκελετός χρυσού χρώματος, με πλαστικά πέλματα προστασίας, εξασφαλίζει σταθερότητα και αντοχή. Μέτρα: 120x80x45 εκ."|"89.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/029-000090-1.jpg, https://www.pakoworld.com/image/catalog/products/029-000090-2.jpg, https://www.pakoworld.com/image/catalog/products/029-000090-3.jpg, https://www.pakoworld.com/image/catalog/products/029-000090-4.jpg"|"χρυσό"|"120.0"|"80.0"|"45.0"||||"γυαλί"|"Σαλόνι, Γραφείο"|"Εlegance, Κλασικός, Στιβαρότητα, Αισθητική, Διακόσμηση, Σύγχρονος"
"100-000012"|"simple"|"Στρώμα τριών στρωμάτων"|1|0|"visible"||"Απολαύστε έναν υγιεινό και αναζωογονητικό ύπνο με το Luxury στρώμα. Κατασκευασμένο από 5 ζώνες pocket spring, memory foam, latex και cool gel, προσφέρει εξατομικευμένη στήριξη και άνεση. Η σύνθεση από πολυεστερικό ύφασμα και αφρώδες υλικό εξασφαλίζει απαλότητα και ανθεκτικότητα. Διαστάσεις: 160x200 εκ. και ύψος 34-36 εκ."|"480.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/100-000012-1.jpg, https://www.pakoworld.com/image/catalog/products/100-000012-2.jpg, https://www.pakoworld.com/image/catalog/products/100-000012-3.jpg, https://www.pakoworld.com/image/catalog/products/100-000012-4.jpg, https://www.pakoworld.com/image/catalog/products/100-000012-5.jpg"|"..."|"160.0"|"200.0"|||||"ύφασμα"|"Υπνοδωμάτιο, Κρεβάτι"|"Άνεση, Υποστήριξη, Εξατομίκευση, Αναζωογόνηση, Ευχάριστος ύπνος, Υποστήριξη σώματος"
"029-000089"|"simple"|"Τραπέζι Paris"|1|0|"visible"||"Απολαύστε το τραπέζι Paris, ένα μοντέρνο έπιπλο που συνδυάζει γυαλί ασφαλείας 8mm με ματ επεξεργασία μαρμάρου και ενισχυμένο χρυσό μεταλλικό σκελετό. Ιδανικό για κάθε χώρο, διαθέτει υψηλή αντοχή και σταθερότητα.  Είναι έτοιμο για χρήση, αλλά παραδίδεται σε συσκευασία."|"184.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/029-000089-1.jpg, https://www.pakoworld.com/image/catalog/products/029-000089-2.jpg, https://www.pakoworld.com/image/catalog/products/029-000089-3.jpg, https://www.pakoworld.com/image/catalog/products/029-000089-4.jpg, https://www.pakoworld.com/image/catalog/products/029-000089-6.jpg"|"χρυσό"|"160.0"|"80.0"|"75.0"||||"γυαλί"|"Γραφείο, Κουζίνα"|"Μοντέρνος σχεδιασμός, Ανθεκτικότητα, Σταθερότητα, Επίθεση, Λειτουργικό, Αισθητική"
"100-000011"|"simple"|"Στρώμα Luxury"|1|0|"visible"||"Απολαύστε έναν ξεκούραστο ύπνο με το Luxury στρώμα. Κατασκευασμένο με 5 ζώνες pocket spring, memory foam, latex και cool gel, προσφέρει εξαιρετική υποστήριξη και άνεση. Το στρώμα είναι φτιαγμένο από ποιοτικά υλικά όπως πολυεστερικό ύφασμα και foam για μέγιστη άνεση. Διαστάσεις: 150x200εκ."|"465.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/100-000011-1.jpg, https://www.pakoworld.com/image/catalog/products/100-000011-2.jpg, https://www.pakoworld.com/image/catalog/products/100-000011-3.jpg, https://www.pakoworld.com/image/catalog/products/100-000011-4.jpg, https://www.pakoworld.com/image/catalog/products/100-000011-5.jpg"||"150.0"|"200.0"|||||"ύφασμα"|"Υπνοδωμάτιο, Κουζίνα"|"Υποστήριξη, Άνεση, Εξοχή, Ανακούφιση, Επιδιόρθωση, Ποιότητα"
"100-000010"|"simple"|"Στρώμα Diamond pocket spring"|1|0|"visible"||"Το Diamond Pocket Spring είναι ένα στρώμα 160x200 εκ. κατασκευασμένο από πολυεστερικό ύφασμα, memory foam και gel memory foam.  Εξασφαλίζει άνεση και υποστήριξη χάρη στις τρεις ζώνες ανεξάρτητων ελατηρίων και την προσαρμοστική του δόση memory foam. Ιδανικό για έναν υγιεινό και αναζωογονητικό ύπνο."|"359.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/100-000010-1.jpg, https://www.pakoworld.com/image/catalog/products/100-000010-2.jpg, https://www.pakoworld.com/image/catalog/products/100-000010-3.jpg, https://www.pakoworld.com/image/catalog/products/100-000010-4.jpg, https://www.pakoworld.com/image/catalog/products/100-000010-5.jpg, https://www.pakoworld.com/image/catalog/products/100-000010-6.jpg"||"160.0"|"200.0"|||||"ύφασμα"|"Υπνοδωμάτιο Κουζίνα"|"Άνεση, Υποστήριξη, Αναζωογόνηση, Προσαρμογή, Υπνό, Εξοχή"
"100-000009"|"simple"|"Στρώμα Diamond pocket spring"|1|0|"visible"||"Το στρώμα Diamond Pocket Spring είναι κατασκευασμένο από πολυεστερικό ύφασμα, memory foam και gel memory foam. Προσφέρει τρεις ζώνες υποστήριξης με ανεξάρτητα ελατήρια, εξασφαλίζοντας άνεση και σωστή στήριξη για το σώμα σας. Ιδανικό για έναν υγιεινό και ξεκούραστο ύπνο. Διαστάσεις: 150x200 εκ. (Ύψος: 25-27 εκ.)."|"349.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/100-000009-1.jpg, https://www.pakoworld.com/image/catalog/products/100-000009-2.jpg, https://www.pakoworld.com/image/catalog/products/100-000009-3.jpg, https://www.pakoworld.com/image/catalog/products/100-000009-4.jpg, https://www.pakoworld.com/image/catalog/products/100-000009-5.jpg, https://www.pakoworld.com/image/catalog/products/100-000009-6.jpg, https://www.pakoworld.com/image/catalog/products/100-000009-7.jpg"||"150.0"|"200.0"|||||"ύφασμα"|"Υπνοδωμάτιο, Κατασκευές"|"Υποστήριξη, Άνεση, Υπναρχη, Υπομονάτο, Ενσωματωμένη, Ξεκούραση"
